time,segment_id,speed,street,direction,from_street,to_street,length,bus_count,message_count,hour,day_of_week,month,start_latitude,start_longitude,end_latitude,end_longitude
2024-06-11T13:01:03.000,127,19.0,Ashland,NB,Addison,Irving Park,0.5,2,14,13,3,6,41.9469890515,-87.6686743455,41.9542892901,-87.6688650541
2024-06-11T13:01:03.000,129,26.0,Ashland,NB,Montrose,Lawrence,0.5,1,1,13,3,6,41.9615905019,-87.6690743088,41.9688759177,-87.6692552405
2024-06-11T13:01:03.000,131,25.0,Ashland,NB,Foster,Bryn Mawr,0.5,1,8,13,3,6,41.9761710709,-87.6694299012,41.9834747775,-87.6696322417
2024-06-11T13:01:03.000,132,14.0,Ashland,NB,Bryn Mawr,Clark,0.23,2,10,13,3,6,41.9834747775,-87.6696322417,41.9867518859,-87.6695265292
2024-06-11T13:01:03.000,133,26.0,Ashland,SB,91st,95th,0.5,3,21,13,3,6,41.7284832358,-87.6630347385,41.7212162434,-87.6628665545
2024-06-11T13:01:03.000,134,23.0,Ashland,SB,87th,91st,0.5,3,21,13,3,6,41.7357908525,-87.6632483146,41.7284832358,-87.6630347385
2024-06-11T13:01:03.000,135,23.0,Ashland,SB,83rd,87th,0.5,3,19,13,3,6,41.7430778317,-87.6634347632,41.7357908525,-87.6632483146
2024-06-11T13:01:03.000,136,19.0,Ashland,SB,79th,83rd,0.5,5,29,13,3,6,41.7503581457,-87.663620583,41.7430778317,-87.6634347632
2024-06-11T13:01:03.000,137,27.0,Ashland,SB,71st,79th,1.0,5,28,13,3,6,41.7649100967,-87.6639792472,41.7503581457,-87.663620583
2024-06-11T13:01:03.000,138,28.0,Ashland,SB,67th,71st,0.5,3,19,13,3,6,41.7721930844,-87.6642044154,41.7649100967,-87.6639792472
2024-06-11T13:01:03.000,139,24.0,Ashland,SB,63rd,67th,0.5,2,25,13,3,6,41.7794656394,-87.6644040713,41.7721930844,-87.6642044154
2024-06-11T13:01:03.000,140,13.0,Ashland,SB,59th,63rd,0.5,1,3,13,3,6,41.7867479054,-87.6645778209,41.7794656394,-87.6644040713
2024-06-11T13:01:03.000,141,27.0,Ashland,SB,55th,59th,0.5,1,1,13,3,6,41.7940254304,-87.6647651619,41.7867479054,-87.6645778209
2024-06-11T13:01:03.000,142,23.0,Ashland,SB,51st,55th,0.5,1,9,13,3,6,41.8013192816,-87.6649598466,41.7940254304,-87.6647651619
2024-06-11T13:01:03.000,143,25.0,Ashland,SB,47th,51st,0.5,1,11,13,3,6,41.8086055077,-87.6651559056,41.8013192816,-87.6649598466
2024-06-11T13:01:03.000,144,28.0,Ashland,SB,43rd,47th,0.5,1,9,13,3,6,41.8158718637,-87.6653316028,41.8086055077,-87.6651559056
2024-06-11T13:01:04.000,145,23.0,Ashland,SB,Pershing,43rd,0.5,3,16,13,3,6,41.8231529963,-87.6654916893,41.8158718637,-87.6653316028
2024-06-11T13:01:04.000,146,20.0,Ashland,SB,35th,Pershing,0.5,2,11,13,3,6,41.8305024208,-87.6657517025,41.8231529963,-87.6654916893
2024-06-11T13:01:04.000,147,30.0,Ashland,SB,Archer,35th,0.5,2,8,13,3,6,41.8376849226,-87.6659250887,41.8305024208,-87.6657517025
2024-06-11T13:01:04.000,148,20.0,Ashland,SB,Cermak,Archer,1.0,2,9,13,3,6,41.8523321221,-87.6662077421,41.8376849226,-87.6659250887
2024-06-11T13:01:04.000,151,17.0,Ashland,SB,Harrison,Roosevelt,0.5,2,15,13,3,6,41.8742014988,-87.6667825068,41.8668625554,-87.6665671071
2024-06-11T13:01:04.000,152,18.0,Ashland,SB,Washington,Harrison,0.6,2,34,13,3,6,41.8833000413,-87.6670550027,41.8742014988,-87.6667825068
2024-06-11T13:01:04.000,153,21.0,Ashland,SB,Grand,Washington,0.53,2,7,13,3,6,41.8909784616,-87.6673262617,41.8833000413,-87.6670550027
2024-06-11T13:01:04.000,155,25.0,Ashland,SB,Milwaukee,Chicago,0.55,1,2,13,3,6,41.904018258,-87.6676967823,41.8960747044,-87.6674751541
2024-06-11T13:01:04.000,156,3.0,Ashland,SB,North Ave,Milwaukee,0.45,1,18,13,3,6,41.9106313534,-87.6678753006,41.904018258,-87.6676967823
2024-06-11T13:01:04.000,157,22.0,Ashland,SB,Elston,North Ave,0.55,1,11,13,3,6,41.9185478323,-87.6682766764,41.9106313534,-87.6678753006
2024-06-11T13:01:04.000,158,21.0,Ashland,SB,Fullerton,Elston,0.45,1,7,13,3,6,41.9251526443,-87.668329537,41.9185478323,-87.6682766764
2024-06-11T13:01:04.000,159,18.0,Ashland,SB,Diversey,Fullerton,0.5,1,8,13,3,6,41.9324046052,-87.6685777528,41.9251526443,-87.668329537
2024-06-11T13:01:04.000,160,24.0,Ashland,SB,Belmont,Diversey,0.5,2,2,13,3,6,41.9396975636,-87.6688454399,41.9324046052,-87.6685777528
2024-06-11T13:01:04.000,161,24.0,Ashland,SB,Addison,Belmont,0.5,1,10,13,3,6,41.9469911788,-87.6690419162,41.9396975636,-87.6688454399
2024-06-11T13:01:04.000,162,22.0,Ashland,SB,Irving Park,Addison,0.5,1,8,13,3,6,41.9542914171,-87.6692326667,41.9469911788,-87.6690419162
2024-06-11T13:01:04.000,166,27.0,Ashland,SB,Bryn Mawr,Foster,0.5,1,10,13,3,6,41.9834769032,-87.6700000222,41.976173197,-87.6697976396
2024-06-11T13:01:04.000,168,27.0,Irving Park,EB,Cumberland,Pacific,0.5,1,10,13,3,6,41.9519145079,-87.8367125529,41.9521088985,-87.8269783644
2024-06-11T13:01:04.000,169,31.0,55th,WB,Kostner,Cicero,0.46,1,9,13,3,6,41.7932531887,-87.7329622535,41.7931681777,-87.7419834738
2024-06-11T13:01:04.000,170,29.0,55th,WB,Pulaski,Kostner,0.5,1,11,13,3,6,41.7933416014,-87.7231576487,41.7932531887,-87.7329622535
2024-06-11T13:01:04.000,171,25.0,55th,WB,Central Park,Pulaski,0.5,2,16,13,3,6,41.7934149656,-87.7136045062,41.7933416014,-87.7231576487
2024-06-11T13:01:04.000,172,29.0,55th,WB,Kedzie,Central Park,0.5,1,12,13,3,6,41.793651115,-87.7035527348,41.7934149656,-87.7136045062
2024-06-11T13:01:04.000,173,22.0,55th,WB,California,Kedzie,0.5,1,11,13,3,6,41.7938280159,-87.6937965741,41.793651115,-87.7035527348
2024-06-11T13:01:04.000,174,25.0,55th,WB,Western,California,0.5,1,11,13,3,6,41.7940137889,-87.684040386,41.7938280159,-87.6937965741
2024-06-11T13:01:04.000,175,31.0,Garfield,WB,Damen,Western,0.5,1,2,13,3,6,41.7940535229,-87.6742991606,41.7940137889,-87.684040386
2024-06-11T13:01:04.000,179,11.0,Garfield,WB,Dan Ryan Expy,Halsted,0.72,2,4,13,3,6,41.7946718587,-87.6311253178,41.7944390571,-87.6451588943
2024-06-11T13:01:05.000,180,15.0,Garfield,WB,State,Dan Ryan Expy,0.27,5,26,13,3,6,41.7947803916,-87.6256995376,41.7946718587,-87.6311253178
2024-06-11T13:01:05.000,181,23.0,Garfield,WB,Dr Martin L King Jr,State,0.5,2,23,13,3,6,41.7949380152,-87.6159795443,41.7947803916,-87.6256995376
2024-06-11T13:01:05.000,186,19.0,North,EB,Kostner,Pulaski,0.51,2,20,13,3,6,41.9096183569,-87.7362643899,41.9097494848,-87.7263320051
2024-06-11T13:01:05.000,187,20.0,North,EB,Pulaski,Central Park,0.49,2,28,13,3,6,41.9097494848,-87.7263320051,41.9098569484,-87.7167020015
2024-06-11T13:01:05.000,188,31.0,North,EB,Central Park,Kedzie,0.5,2,18,13,3,6,41.9098569484,-87.7167020015,41.909978124,-87.7069618067
2024-06-11T13:01:05.000,189,27.0,North,EB,Kedzie,California,0.51,2,15,13,3,6,41.909978124,-87.7069618067,41.9100801383,-87.6970362251
2024-06-11T13:01:05.000,190,27.0,North,EB,California,Western,0.49,1,12,13,3,6,41.9100801383,-87.6970362251,41.9101836642,-87.6872220807
2024-06-11T13:01:05.000,191,27.0,North,EB,Western,Damen,0.5,2,21,13,3,6,41.9101836642,-87.6872220807,41.9103355405,-87.6775874547
2024-06-11T13:01:05.000,192,22.0,North,EB,Damen,Ashland,0.5,1,15,13,3,6,41.9103355405,-87.6775874547,41.9104930855,-87.6676930451
2024-06-11T13:01:05.000,193,25.0,North,EB,Ashland,Elston,0.28,1,5,13,3,6,41.9104930855,-87.6676930451,41.9105689327,-87.6621624942
2024-06-11T13:01:05.000,194,14.0,North,EB,Elston,Halsted,0.72,2,8,13,3,6,41.9105689327,-87.6621624942,41.9107824177,-87.6482730398
2024-06-11T13:01:05.000,195,25.0,North,EB,Halsted,LaSalle,0.78,2,33,13,3,6,41.9107824177,-87.6482730398,41.9110250802,-87.6331523771
2024-06-11T13:01:05.000,196,30.0,North,WB,Oak Park,Harlem,0.56,1,13,13,3,6,41.9091729382,-87.7948024476,41.9090033229,-87.8057579864
2024-06-11T13:01:05.000,197,28.0,North,WB,Narragansett,Oak Park,0.5,1,3,13,3,6,41.909248873,-87.7849627555,41.9091729382,-87.7948024476
2024-06-11T13:01:05.000,204,33.0,North,WB,Central Park,Pulaski,0.49,1,3,13,3,6,41.9101313576,-87.7166993605,41.9100238945,-87.7263294053
2024-06-11T13:01:05.000,205,21.0,North,WB,Kedzie,Central Park,0.5,3,19,13,3,6,41.9102525328,-87.706959124,41.9101313576,-87.7166993605
2024-06-11T13:01:05.000,206,22.0,North,WB,California,Kedzie,0.51,2,29,13,3,6,41.9103545465,-87.6970334998,41.9102525328,-87.706959124
2024-06-11T13:01:05.000,207,24.0,North,WB,Western,California,0.49,2,17,13,3,6,41.9104580718,-87.6872193134,41.9103545465,-87.6970334998
2024-06-11T13:01:05.000,208,20.0,North,WB,Damen,Western,0.5,2,13,13,3,6,41.9106099476,-87.6775846462,41.9104580718,-87.6872193134
2024-06-11T13:01:05.000,209,20.0,North,WB,Ashland,Damen,0.5,1,13,13,3,6,41.9107674921,-87.6676901941,41.9106099476,-87.6775846462
2024-06-11T13:01:05.000,210,22.0,North,WB,Elston,Ashland,0.28,1,7,13,3,6,41.910843339,-87.6621596195,41.9107674921,-87.6676901941
2024-06-11T13:01:06.000,1,21.0,55th,EB,Pulaski,Central Park,0.5,1,13,13,3,6,41.7930671862,-87.7231602513,41.793140551,-87.7136071496
2024-06-11T13:01:06.000,2,20.0,55th,EB,Central Park,Kedzie,0.5,1,8,13,3,6,41.793140551,-87.7136071496,41.7933767009,-87.7035554211
2024-06-11T13:01:06.000,3,24.0,55th,EB,Kedzie,California,0.5,1,6,13,3,6,41.7933767009,-87.7035554211,41.7935536023,-87.693799302
2024-06-11T13:01:06.000,4,18.0,55th,EB,California,Western,0.5,1,18,13,3,6,41.7935536023,-87.693799302,41.7937393759,-87.6840431555
2024-06-11T13:01:06.000,5,27.0,Garfield,EB,Western,Damen,0.5,1,10,13,3,6,41.7937393759,-87.6840431555,41.7937791103,-87.6743019717
2024-06-11T13:01:06.000,6,26.0,Garfield,EB,Damen,Ashland,0.5,1,1,13,3,6,41.7937791103,-87.6743019717,41.7938871572,-87.6645832406
2024-06-11T13:01:06.000,7,26.0,Garfield,EB,Ashland,Racine,0.5,1,12,13,3,6,41.7938871572,-87.6645832406,41.7940346735,-87.6548756951
2024-06-11T13:01:06.000,8,27.0,Garfield,EB,Racine,Halsted,0.5,1,13,13,3,6,41.7940346735,-87.6548756951,41.7941646462,-87.6451618298
2024-06-11T13:01:06.000,9,24.0,Garfield,EB,Halsted,Dan Ryan Expy,0.72,1,13,13,3,6,41.7941646462,-87.6451618298,41.7943974487,-87.6311283131
2024-06-11T13:01:06.000,10,26.0,Garfield,EB,Dan Ryan Expy,State,0.27,1,1,13,3,6,41.7943974487,-87.6311283131,41.7945059819,-87.625702556
2024-06-11T13:01:06.000,12,29.0,Archer,WB,Oak Park,Harlem,0.5,1,8,13,3,6,41.7922933877,-87.7915747868,41.7920840659,-87.801548143
2024-06-11T13:01:06.000,13,25.0,Archer,WB,Narragansett,Oak Park,0.5,1,6,13,3,6,41.7924861906,-87.7818044315,41.7922933877,-87.7915747868
2024-06-11T13:01:06.000,14,27.0,55th,WB,Austin,Mobile,0.5,1,1,13,3,6,41.7926796968,-87.772065026,41.7924861906,-87.77935
2024-06-11T13:01:06.000,19,40.0,Pulaski,NB,111th,107th,0.5,1,12,13,3,6,41.6912676378,-87.7201006039,41.6985611194,-87.7205138378
2024-06-11T13:01:06.000,20,31.0,Pulaski,NB,107th,103rd,0.5,2,21,13,3,6,41.6985611194,-87.7204446212,41.7059018917,-87.7207943736
2024-06-11T13:01:06.000,21,35.0,Pulaski,NB,103rd,99th,0.5,2,15,13,3,6,41.7059018917,-87.7207247188,41.7131708566,-87.7210108659
2024-06-11T13:01:06.000,22,39.0,Pulaski,NB,99th,95th,0.5,1,11,13,3,6,41.7131708566,-87.720941896,41.7205351179,-87.7212281119
