segment_id,street,direction,length,observed_speed,predicted_speed,travel_time_minutes,estimated_co2,distance_score,time_score,emission_score,distance_focused_score,balanced_score,sustainability_focused_score
127,Ashland,NB,0.5,19.0,22.5,1.33,104.6,0.3506,0.1191,0.3177,0.2779,0.261,0.2614
129,Ashland,NB,0.5,26.0,24.0,1.25,104.6,0.3506,0.1057,0.3177,0.2739,0.2565,0.2574
131,Ashland,NB,0.5,25.0,23.2,1.29,104.6,0.3506,0.1124,0.3177,0.2759,0.2588,0.2594
132,Ashland,NB,0.23,14.0,14.5,0.95,62.6,0.0,0.0588,0.0812,0.0258,0.0468,0.0664
133,Ashland,SB,0.5,26.0,23.2,1.29,104.6,0.3506,0.1129,0.3177,0.276,0.2589,0.2595
134,Ashland,SB,0.5,23.0,23.2,1.29,104.6,0.3506,0.1129,0.3177,0.276,0.2589,0.2595
135,Ashland,SB,0.5,23.0,22.8,1.32,104.6,0.3506,0.1165,0.3177,0.2771,0.2602,0.2606
136,Ashland,SB,0.5,19.0,22.2,1.35,104.6,0.3506,0.1217,0.3177,0.2787,0.2619,0.2622
137,Ashland,SB,1.0,27.0,25.0,2.4,209.2,1.0,0.2888,0.9059,0.7772,0.7271,0.7301
138,Ashland,SB,0.5,28.0,22.8,1.32,104.6,0.3506,0.1165,0.3177,0.2771,0.2602,0.2606
139,Ashland,SB,0.5,24.0,21.8,1.37,104.6,0.3506,0.1257,0.3177,0.2799,0.2633,0.2634
140,Ashland,SB,0.5,13.0,22.0,1.36,104.6,0.3506,0.1238,0.3177,0.2793,0.2626,0.2628
141,Ashland,SB,0.5,27.0,24.2,1.24,104.6,0.3506,0.1038,0.3177,0.2733,0.2558,0.2568
142,Ashland,SB,0.5,23.0,23.3,1.29,104.6,0.3506,0.1116,0.3177,0.2756,0.2585,0.2591
143,Ashland,SB,0.5,25.0,23.1,1.3,104.6,0.3506,0.1138,0.3177,0.2763,0.2592,0.2598
144,Ashland,SB,0.5,28.0,23.3,1.29,104.6,0.3506,0.1116,0.3177,0.2756,0.2585,0.2591
